step,KE,PE,total
0,512718,-1.98031e+06,-1.46759e+06
1,512800,-1.98039e+06,-1.46759e+06
2,513060,-1.98065e+06,-1.46759e+06
3,513497,-1.98109e+06,-1.46759e+06
4,514115,-1.98171e+06,-1.46759e+06
5,514916,-1.98251e+06,-1.4676e+06
6,515896,-1.9835e+06,-1.4676e+06
7,517059,-1.98467e+06,-1.46761e+06
8,518413,-1.98603e+06,-1.46761e+06
9,519961,-1.98758e+06,-1.46761e+06
10,521705,-1.98932e+06,-1.46761e+06
11,523645,-1.99126e+06,-1.46762e+06
12,525780,-1.9934e+06,-1.46762e+06
13,528118,-1.99574e+06,-1.46762e+06
14,530657,-1.99828e+06,-1.46763e+06
15,533389,-2.00102e+06,-1.46763e+06
16,536309,-2.00395e+06,-1.46764e+06
17,539409,-2.00706e+06,-1.46765e+06
18,542674,-2.01033e+06,-1.46766e+06
19,546094,-2.01376e+06,-1.46767e+06
20,549662,-2.01735e+06,-1.46768e+06
21,553376,-2.02107e+06,-1.4677e+06
22,557233,-2.02494e+06,-1.46771e+06
23,561227,-2.02895e+06,-1.46772e+06
24,565348,-2.03308e+06,-1.46773e+06
25,569580,-2.03732e+06,-1.46774e+06
26,573921,-2.04167e+06,-1.46774e+06
27,578382,-2.04614e+06,-1.46776e+06
28,582974,-2.05074e+06,-1.46777e+06
29,587701,-2.05549e+06,-1.46779e+06
30,592564,-2.06037e+06,-1.4678e+06
31,597566,-2.06538e+06,-1.46782e+06
32,602703,-2.07053e+06,-1.46783e+06
33,607972,-2.07582e+06,-1.46785e+06
34,613373,-2.08124e+06,-1.46786e+06
35,618915,-2.08679e+06,-1.46788e+06
36,624609,-2.0925e+06,-1.46789e+06
37,630463,-2.09837e+06,-1.46791e+06
38,636475,-2.1044e+06,-1.46792e+06
39,642642,-2.11058e+06,-1.46794e+06
40,648972,-2.11693e+06,-1.46796e+06
41,655486,-2.12347e+06,-1.46798e+06
42,662198,-2.1302e+06,-1.468e+06
43,669116,-2.13714e+06,-1.46802e+06
44,676244,-2.14429e+06,-1.46804e+06
45,683587,-2.15165e+06,-1.46806e+06
46,691151,-2.15924e+06,-1.46809e+06
47,698934,-2.16705e+06,-1.46811e+06
48,706942,-2.17508e+06,-1.46814e+06
49,715196,-2.18336e+06,-1.46817e+06
50,723710,-2.1919e+06,-1.46819e+06
51,732501,-2.20071e+06,-1.46821e+06
52,741593,-2.20983e+06,-1.46824e+06
53,751018,-2.21927e+06,-1.46826e+06
54,760806,-2.22908e+06,-1.46827e+06
55,770987,-2.23928e+06,-1.46829e+06
56,781573,-2.24989e+06,-1.46832e+06
57,792575,-2.26092e+06,-1.46834e+06
58,803996,-2.27236e+06,-1.46837e+06
59,815816,-2.28422e+06,-1.4684e+06
60,827984,-2.29643e+06,-1.46845e+06
61,840410,-2.3089e+06,-1.46849e+06
62,852997,-2.32153e+06,-1.46854e+06
63,865660,-2.33423e+06,-1.46857e+06
64,878335,-2.34693e+06,-1.4686e+06
65,891020,-2.35964e+06,-1.46862e+06
66,903776,-2.37241e+06,-1.46864e+06
67,916679,-2.38534e+06,-1.46866e+06
68,929766,-2.39845e+06,-1.46869e+06
69,943039,-2.41176e+06,-1.46872e+06
70,956495,-2.42525e+06,-1.46876e+06
71,970119,-2.43892e+06,-1.4688e+06
72,983900,-2.45274e+06,-1.46884e+06
73,997830,-2.46672e+06,-1.46889e+06
74,1.01187e+06,-2.4808e+06,-1.46893e+06
75,1.026e+06,-2.49497e+06,-1.46897e+06
76,1.04022e+06,-2.50924e+06,-1.46902e+06
77,1.0546e+06,-2.52367e+06,-1.46906e+06
78,1.0692e+06,-2.5383e+06,-1.4691e+06
79,1.08412e+06,-2.55326e+06,-1.46914e+06
80,1.09947e+06,-2.56867e+06,-1.4692e+06
81,1.11525e+06,-2.58451e+06,-1.46926e+06
82,1.1314e+06,-2.60076e+06,-1.46936e+06
83,1.14768e+06,-2.61716e+06,-1.46948e+06
84,1.16363e+06,-2.6332e+06,-1.46957e+06
85,1.1789e+06,-2.64851e+06,-1.46961e+06
86,1.19351e+06,-2.66314e+06,-1.46963e+06
87,1.20767e+06,-2.67733e+06,-1.46965e+06
88,1.22151e+06,-2.69121e+06,-1.46969e+06
89,1.23507e+06,-2.70479e+06,-1.46972e+06
90,1.24837e+06,-2.71814e+06,-1.46977e+06
91,1.2614e+06,-2.73122e+06,-1.46982e+06
92,1.27412e+06,-2.744e+06,-1.46988e+06
93,1.28648e+06,-2.75641e+06,-1.46993e+06
94,1.29847e+06,-2.76845e+06,-1.46997e+06
95,1.31018e+06,-2.78019e+06,-1.47001e+06
96,1.32171e+06,-2.79175e+06,-1.47004e+06
97,1.33319e+06,-2.80325e+06,-1.47006e+06
98,1.34477e+06,-2.81487e+06,-1.47009e+06
99,1.35663e+06,-2.82676e+06,-1.47013e+06
100,1.36884e+06,-2.83902e+06,-1.47019e+06
101,1.38137e+06,-2.85162e+06,-1.47025e+06
102,1.39411e+06,-2.86442e+06,-1.47031e+06
103,1.4069e+06,-2.87727e+06,-1.47038e+06
104,1.4196e+06,-2.89003e+06,-1.47042e+06
105,1.43217e+06,-2.90264e+06,-1.47046e+06
106,1.4446e+06,-2.91511e+06,-1.47051e+06
107,1.45693e+06,-2.92748e+06,-1.47055e+06
108,1.4692e+06,-2.9398e+06,-1.47061e+06
109,1.4815e+06,-2.95214e+06,-1.47064e+06
110,1.49411e+06,-2.96483e+06,-1.47072e+06
111,1.50711e+06,-2.9779e+06,-1.47079e+06
112,1.52042e+06,-2.99123e+06,-1.4708e+06
113,1.5342e+06,-3.00506e+06,-1.47085e+06
114,1.54857e+06,-3.01948e+06,-1.47091e+06
115,1.56353e+06,-3.03453e+06,-1.471e+06
116,1.57891e+06,-3.05001e+06,-1.4711e+06
117,1.59447e+06,-3.06564e+06,-1.47118e+06
