step,KE,PE,total
0,512718,-1.98031e+06,-1.46759e+06
1,512801,-1.98039e+06,-1.46759e+06
2,513063,-1.98065e+06,-1.46759e+06
3,513504,-1.98109e+06,-1.46759e+06
4,514127,-1.98172e+06,-1.46759e+06
5,514933,-1.98252e+06,-1.46759e+06
6,515922,-1.98351e+06,-1.46759e+06
7,517098,-1.98469e+06,-1.46759e+06
8,518464,-1.98605e+06,-1.46759e+06
9,520021,-1.98761e+06,-1.46759e+06
10,521774,-1.98936e+06,-1.46759e+06
11,523724,-1.99131e+06,-1.46759e+06
12,525875,-1.99346e+06,-1.46759e+06
13,528227,-1.99582e+06,-1.46759e+06
14,530779,-1.99837e+06,-1.46759e+06
15,533528,-2.00112e+06,-1.46759e+06
16,536469,-2.00406e+06,-1.46759e+06
17,539590,-2.00718e+06,-1.46759e+06
18,542881,-2.01048e+06,-1.46759e+06
19,546329,-2.01392e+06,-1.4676e+06
20,549927,-2.01752e+06,-1.4676e+06
21,553672,-2.02127e+06,-1.4676e+06
22,557560,-2.02516e+06,-1.4676e+06
23,561584,-2.02918e+06,-1.4676e+06
24,565732,-2.03333e+06,-1.4676e+06
25,569994,-2.0376e+06,-1.4676e+06
26,574368,-2.04197e+06,-1.4676e+06
27,578864,-2.04646e+06,-1.4676e+06
28,583495,-2.0511e+06,-1.4676e+06
29,588263,-2.05586e+06,-1.4676e+06
30,593170,-2.06077e+06,-1.4676e+06
31,598214,-2.06582e+06,-1.4676e+06
32,603395,-2.071e+06,-1.4676e+06
33,608710,-2.07631e+06,-1.4676e+06
34,614159,-2.08176e+06,-1.4676e+06
35,619748,-2.08735e+06,-1.4676e+06
36,625490,-2.09309e+06,-1.4676e+06
37,631391,-2.099e+06,-1.4676e+06
38,637452,-2.10506e+06,-1.46761e+06
39,643671,-2.11128e+06,-1.4676e+06
40,650061,-2.11766e+06,-1.4676e+06
41,656638,-2.12424e+06,-1.4676e+06
42,663412,-2.13102e+06,-1.4676e+06
43,670393,-2.138e+06,-1.4676e+06
44,677588,-2.14519e+06,-1.46761e+06
45,684999,-2.1526e+06,-1.46761e+06
46,692633,-2.16024e+06,-1.46761e+06
47,700496,-2.1681e+06,-1.46761e+06
48,708592,-2.1762e+06,-1.46761e+06
49,716930,-2.18454e+06,-1.46761e+06
50,725528,-2.19314e+06,-1.46761e+06
51,734407,-2.20201e+06,-1.46761e+06
52,743591,-2.2112e+06,-1.46761e+06
53,753110,-2.22072e+06,-1.46761e+06
54,762995,-2.2306e+06,-1.46761e+06
55,773278,-2.24088e+06,-1.46761e+06
56,783975,-2.25159e+06,-1.46761e+06
57,795095,-2.26271e+06,-1.46761e+06
58,806637,-2.27426e+06,-1.46762e+06
59,818586,-2.28622e+06,-1.46763e+06
60,830889,-2.29854e+06,-1.46765e+06
61,843448,-2.31111e+06,-1.46766e+06
62,856160,-2.32384e+06,-1.46768e+06
63,868940,-2.33663e+06,-1.46769e+06
64,881730,-2.34942e+06,-1.46769e+06
65,894530,-2.36222e+06,-1.46769e+06
66,907403,-2.37509e+06,-1.46768e+06
67,920429,-2.38811e+06,-1.46768e+06
68,933649,-2.40134e+06,-1.46769e+06
69,947065,-2.41476e+06,-1.46769e+06
70,960667,-2.42836e+06,-1.4677e+06
71,974443,-2.44215e+06,-1.4677e+06
72,988382,-2.45609e+06,-1.46771e+06
73,1.00247e+06,-2.47018e+06,-1.46771e+06
74,1.01668e+06,-2.4844e+06,-1.46772e+06
75,1.03099e+06,-2.4987e+06,-1.46772e+06
76,1.04541e+06,-2.51313e+06,-1.46772e+06
77,1.06001e+06,-2.52773e+06,-1.46771e+06
78,1.07483e+06,-2.54254e+06,-1.46771e+06
79,1.08999e+06,-2.55769e+06,-1.4677e+06
80,1.10557e+06,-2.57328e+06,-1.46771e+06
81,1.1216e+06,-2.58933e+06,-1.46773e+06
82,1.13803e+06,-2.6058e+06,-1.46776e+06
83,1.15462e+06,-2.62246e+06,-1.46783e+06
84,1.1709e+06,-2.63879e+06,-1.46789e+06
85,1.18649e+06,-2.6544e+06,-1.4679e+06
86,1.20138e+06,-2.66926e+06,-1.46787e+06
87,1.21577e+06,-2.68362e+06,-1.46785e+06
88,1.22983e+06,-2.69767e+06,-1.46785e+06
89,1.24361e+06,-2.71145e+06,-1.46784e+06
90,1.25715e+06,-2.72499e+06,-1.46784e+06
91,1.27043e+06,-2.73827e+06,-1.46784e+06
92,1.28343e+06,-2.75128e+06,-1.46785e+06
93,1.29609e+06,-2.76395e+06,-1.46786e+06
94,1.30836e+06,-2.77621e+06,-1.46785e+06
95,1.32032e+06,-2.78814e+06,-1.46782e+06
96,1.33211e+06,-2.79992e+06,-1.46781e+06
97,1.34387e+06,-2.81166e+06,-1.46779e+06
98,1.35574e+06,-2.82351e+06,-1.46777e+06
99,1.36788e+06,-2.83563e+06,-1.46776e+06
100,1.38037e+06,-2.84813e+06,-1.46776e+06
101,1.39321e+06,-2.86098e+06,-1.46777e+06
102,1.40624e+06,-2.87403e+06,-1.46779e+06
103,1.41931e+06,-2.8871e+06,-1.4678e+06
104,1.43231e+06,-2.90011e+06,-1.4678e+06
105,1.44521e+06,-2.91301e+06,-1.4678e+06
106,1.45797e+06,-2.92577e+06,-1.4678e+06
107,1.47059e+06,-2.93839e+06,-1.46779e+06
108,1.48314e+06,-2.95092e+06,-1.46778e+06
109,1.49579e+06,-2.96353e+06,-1.46773e+06
110,1.50882e+06,-2.97657e+06,-1.46775e+06
111,1.52218e+06,-2.98992e+06,-1.46775e+06
112,1.53587e+06,-3.00359e+06,-1.46772e+06
113,1.55007e+06,-3.01779e+06,-1.46772e+06
114,1.56488e+06,-3.0326e+06,-1.46772e+06
115,1.58033e+06,-3.04807e+06,-1.46775e+06
116,1.5962e+06,-3.06397e+06,-1.46778e+06
117,1.6122e+06,-3.08e+06,-1.4678e+06
118,1.62816e+06,-3.09599e+06,-1.46783e+06
119,1.64404e+06,-3.11183e+06,-1.46779e+06
120,1.66001e+06,-3.12781e+06,-1.46779e+06
121,1.67627e+06,-3.14402e+06,-1.46776e+06
122,1.69303e+06,-3.16079e+06,-1.46776e+06
123,1.71047e+06,-3.17823e+06,-1.46777e+06
124,1.72853e+06,-3.19632e+06,-1.46779e+06
125,1.7471e+06,-3.21495e+06,-1.46785e+06
126,1.76583e+06,-3.23371e+06,-1.46787e+06
127,1.78449e+06,-3.2524e+06,-1.46791e+06
128,1.80301e+06,-3.27089e+06,-1.46789e+06
129,1.82153e+06,-3.28941e+06,-1.46788e+06
130,1.83999e+06,-3.30794e+06,-1.46796e+06
131,1.85804e+06,-3.32597e+06,-1.46793e+06
132,1.87579e+06,-3.34371e+06,-1.46792e+06
133,1.89336e+06,-3.36132e+06,-1.46796e+06
134,1.91076e+06,-3.37865e+06,-1.46789e+06
135,1.9284e+06,-3.39628e+06,-1.46788e+06
136,1.94679e+06,-3.41463e+06,-1.46784e+06
137,1.96653e+06,-3.43432e+06,-1.46779e+06
138,1.9877e+06,-3.45593e+06,-1.46823e+06
139,2.00737e+06,-3.47552e+06,-1.46816e+06
140,2.02419e+06,-3.49236e+06,-1.46817e+06
141,2.03982e+06,-3.50797e+06,-1.46815e+06
142,2.05452e+06,-3.52249e+06,-1.46797e+06
143,2.069e+06,-3.53697e+06,-1.46797e+06
144,2.0834e+06,-3.55136e+06,-1.46796e+06
145,2.09782e+06,-3.56566e+06,-1.46784e+06
146,2.11301e+06,-3.58076e+06,-1.46775e+06
147,2.12973e+06,-3.59747e+06,-1.46773e+06
148,2.14797e+06,-3.61579e+06,-1.46782e+06
149,2.167e+06,-3.63491e+06,-1.46791e+06
150,2.18652e+06,-3.65433e+06,-1.46782e+06
151,2.20706e+06,-3.67482e+06,-1.46775e+06
152,2.22916e+06,-3.69699e+06,-1.46783e+06
153,2.2523e+06,-3.7204e+06,-1.4681e+06
154,2.27457e+06,-3.74301e+06,-1.46844e+06
155,2.29369e+06,-3.76223e+06,-1.46853e+06
156,2.30868e+06,-3.77707e+06,-1.46839e+06
157,2.32047e+06,-3.78857e+06,-1.46811e+06
158,2.33111e+06,-3.79899e+06,-1.46789e+06
159,2.34258e+06,-3.81034e+06,-1.46776e+06
160,2.35602e+06,-3.82365e+06,-1.46763e+06
161,2.37215e+06,-3.83997e+06,-1.46782e+06
162,2.387e+06,-3.85606e+06,-1.46906e+06
163,2.39924e+06,-3.86715e+06,-1.46791e+06
164,2.41153e+06,-3.8795e+06,-1.46796e+06
165,2.42537e+06,-3.89336e+06,-1.46799e+06
