step,KE,PE,total
0,4206.61,-16005.9,-11799.3
1,4207.03,-16006.3,-11799.3
2,4207.83,-16007.1,-11799.3
3,4209.01,-16008.3,-11799.3
4,4210.59,-16009.8,-11799.3
5,4212.58,-16011.8,-11799.3
6,4214.98,-16014.2,-11799.2
7,4217.81,-16017.1,-11799.2
8,4221.1,-16020.3,-11799.2
9,4224.86,-16024.1,-11799.2
10,4229.12,-16028.4,-11799.2
11,4233.9,-16033.1,-11799.2
12,4239.21,-16038.5,-11799.2
13,4245.08,-16044.3,-11799.2
14,4251.49,-16050.7,-11799.2
15,4258.43,-16057.7,-11799.3
16,4265.81,-16065.1,-11799.3
17,4273.54,-16072.8,-11799.3
18,4281.5,-16080.8,-11799.3
19,4289.58,-16088.9,-11799.3
20,4297.69,-16097,-11799.3
21,4305.81,-16105.1,-11799.3
22,4313.93,-16113.2,-11799.3
23,4322.04,-16121.3,-11799.3
24,4330.09,-16129.4,-11799.3
25,4338.11,-16137.4,-11799.3
26,4346.14,-16145.4,-11799.3
27,4354.22,-16153.5,-11799.3
28,4362.27,-16161.6,-11799.3
29,4370.09,-16169.4,-11799.3
30,4377.36,-16176.7,-11799.4
31,4383.83,-16183.2,-11799.4
32,4389.5,-16188.8,-11799.3
33,4394.75,-16194,-11799.3
34,4400.13,-16199.4,-11799.2
35,4406.19,-16205.4,-11799.2
36,4413.29,-16212.5,-11799.2
37,4421.64,-16220.8,-11799.2
38,4431.24,-16230.5,-11799.2
39,4441.86,-16241.1,-11799.3
40,4453.12,-16252.4,-11799.3
41,4464.62,-16263.9,-11799.3
42,4476.26,-16275.5,-11799.3
43,4488.2,-16287.5,-11799.3
44,4500.51,-16299.8,-11799.3
45,4512.93,-16312.3,-11799.3
46,4524.93,-16324.3,-11799.4
47,4536.14,-16335.5,-11799.4
48,4546.42,-16345.8,-11799.4
49,4555.84,-16355.2,-11799.4
50,4564.79,-16364.1,-11799.3
51,4574.01,-16373.2,-11799.2
52,4584.28,-16383.5,-11799.2
53,4596.07,-16395.3,-11799.2
54,4609.45,-16408.7,-11799.2
55,4624.16,-16423.4,-11799.2
56,4639.89,-16439.2,-11799.3
57,4656.39,-16455.7,-11799.3
58,4673.46,-16472.8,-11799.3
59,4690.74,-16490.1,-11799.4
60,4707.74,-16507.1,-11799.4
61,4724.16,-16523.5,-11799.4
62,4740.22,-16539.5,-11799.3
63,4756.69,-16555.9,-11799.2
64,4774.54,-16573.7,-11799.2
65,4794.57,-16593.7,-11799.1
66,4817.31,-16616.4,-11799.1
67,4843.01,-16642.1,-11799.1
68,4871.51,-16670.7,-11799.2
